"Time","Population","Curve_ID"
62,199.981452250945,62
63,199.985707365392,62
64,199.988986366518,62
65,199.991513144099,62
66,199.993460246135,62
67,199.994960647719,62
68,199.996116824086,62
69,199.997007744571,62
70,199.997694263439,62
71,199.998223274791,62
72,199.99863091472,62
73,199.998945029116,62
74,199.999187075442,62
75,199.999373588305,62
76,199.999517308835,62
77,199.999628054979,62
78,199.999713392152,62
79,199.999779150027,62
80,199.999829820759,62
81,199.999868865858,62
82,199.999898952645,62
83,199.999922136467,62
84,199.999940001106,62
85,199.999953766969,62
86,199.999964374457,62
87,199.999972548214,62
88,199.999978846623,62
89,199.999983699955,62
90,199.999987439761,62
91,199.999990321524,62
92,199.999992542108,62
93,199.999994253212,62
94,199.999995571728,62
95,199.99999658773,62
96,199.999997370625,62
97,199.999997973897,62
98,199.999998438757,62
99,199.999998796961,62
100,199.999999072981,62
0,1,63
1,1,63
2,1,63
3,1,63
4,1,63
5,1,63
6,1.79749631255679,63
7,3.21944543489527,63
8,5.72938153030992,63
9,10.0802663764165,63
10,17.381907936172,63
11,28.9501161233162,63
12,45.5195309752334,63
13,65.4966154174265,63
14,83.7009180247027,63
15,94.6906437674865,63
16,98.7405262722373,63
17,99.7423193797426,63
18,99.9493595943761,63
19,99.9901324078628,63
20,99.9980804804144,63
21,99.9996267232499,63
22,99.9999274158969,63
23,99.9999858861116,63
24,99.9999972555786,63
25,99.9999994663522,63
26,99.9999998962332,63
27,99.9999999798227,63
28,99.9999999960766,63
29,99.9999999992371,63
30,99.9999999998517,63
31,99.9999999999712,63
32,99.9999999999944,63
33,99.9999999999989,63
34,99.9999999999998,63
35,100,63
36,100,63
37,100,63
38,100,63
39,100,63
40,100,63
41,100,63
42,100,63
43,100,63
44,100,63
45,100,63
46,100,63
47,100,63
48,100,63
49,100,63
50,100,63
51,100,63
52,100,63
53,100,63
54,100,63
55,100,63
56,100,63
57,100,63
58,100,63
59,100,63
60,100,63
61,100,63
62,100,63
63,100,63
64,100,63
65,100,63
66,100,63
67,100,63
68,100,63
69,100,63
70,100,63
71,100,63
72,100,63
73,100,63
74,100,63
75,100,63
76,100,63
77,100,63
78,100,63
79,100,63
80,100,63
81,100,63
82,100,63
83,100,63
84,100,63
85,100,63
86,100,63
87,100,63
88,100,63
89,100,63
90,100,63
91,100,63
92,100,63
93,100,63
94,100,63
95,100,63
96,100,63
97,100,63
98,100,63
99,100,63
100,100,63
0,4,64
1,4,64
2,4,64
3,4,64
4,4,64
5,4,64
6,4,64
7,6.11800957327895,64
8,9.34018378589686,64
9,14.2191398228295,64
10,21.5539139343514,64
11,32.4608534294848,64
12,48.4136298205047,64
13,71.1736381817519,64
14,102.467454933792,64
15,143.232991981311,64
16,192.409198726901,64
17,245.817243335777,64
18,296.495409577007,64
19,337.530021124867,64
20,365.724008905325,64
21,382.485638318189,64
22,391.443042850904,64
23,395.921832619117,64
24,398.080805758677,64
25,399.10236348086,64
26,399.581387791046,64
27,399.805048595662,64
28,399.90926771126,64
29,399.957784950067,64
30,399.980361324708,64
31,399.990864572209,64
32,399.995750552415,64
33,399.998023349145,64
34,399.999080557414,64
35,399.99957232098,64
36,399.999801065245,64
37,399.999907465625,64
38,399.999956957708,64
39,399.999979978914,64
40,399.999990687209,64
41,399.999995668164,64
42,399.99999798505,64
43,399.999999062748,64
44,399.999999564038,64
45,399.999999797213,64
46,399.999999905674,64
47,399.999999956124,64
48,399.999999979591,64
49,399.999999990507,64
50,399.999999995584,64
51,399.999999997946,64
52,399.999999999045,64
53,399.999999999556,64
54,399.999999999793,64
55,399.999999999904,64
56,399.999999999955,64
57,399.999999999979,64
58,399.99999999999,64
59,399.999999999996,64
60,399.999999999998,64
61,399.999999999999,64
62,400,64
63,400,64
64,400,64
65,400,64
66,400,64
67,400,64
68,400,64
69,400,64
70,400,64
71,400,64
72,400,64
73,400,64
74,400,64
75,400,64
76,400,64
77,400,64
78,400,64
79,400,64
80,400,64
81,400,64
82,400,64
83,400,64
84,400,64
85,400,64
86,400,64
87,400,64
88,400,64
89,400,64
90,400,64
91,400,64
92,400,64
93,400,64
94,400,64
95,400,64
96,400,64
97,400,64
98,400,64
99,400,64
100,400,64
0,1,65
1,1,65
2,1,65
3,1,65
4,1,65
5,1,65
6,1,65
7,1,65
8,1,65
9,1,65
10,1,65
11,1,65
12,1,65
13,1.57458450240549,65
14,2.47406539661496,65
15,3.87445864895334,65
16,6.03602485657983,65
17,9.32780722227896,65
18,14.2365739484213,65
19,21.3229847277224,65
20,31.05974741902,65
21,43.4874114319393,65
22,57.7509562620606,65
23,71.9119841134291,65
24,83.6350457143735,65
25,91.5787269527118,65
26,96.0547371213253,65
27,98.2541838489204,65
28,99.2497457606487,65
29,99.6819177095052,65
30,99.8659417610385,65
31,99.9436433008697,65
32,99.9763336409482,65
33,99.9900660701518,65
34,99.9958310349212,65
35,99.9982505529626,65
36,99.9992658939424,65
37,99.9996919574447,65
38,99.9998707412155,65
39,99.9999457614159,65
40,99.9999772408431,65
41,99.9999904499904,65
42,99.9999959927046,65
43,99.9999983184922,65
44,99.9999992944198,65
45,99.9999997039303,65
46,99.9999998757657,65
47,99.9999999478699,65
48,99.9999999781256,65
49,99.9999999908212,65
50,99.9999999961485,65
51,99.9999999983839,65
52,99.9999999993218,65
53,99.9999999997154,65
54,99.9999999998806,65
55,99.9999999999499,65
56,99.999999999979,65
57,99.9999999999912,65
58,99.9999999999963,65
59,99.9999999999984,65
60,99.9999999999993,65
61,99.9999999999997,65
62,99.9999999999999,65
63,100,65
64,100,65
65,100,65
66,100,65
67,100,65
68,100,65
69,100,65
70,100,65
71,100,65
72,100,65
73,100,65
74,100,65
75,100,65
76,100,65
77,100,65
78,100,65
79,100,65
80,100,65
81,100,65
82,100,65
83,100,65
84,100,65
85,100,65
86,100,65
87,100,65
88,100,65
89,100,65
90,100,65
91,100,65
92,100,65
93,100,65
94,100,65
95,100,65
96,100,65
97,100,65
98,100,65
99,100,65
100,100,65
0,5,66
1,5,66
2,5,66
3,5,66
4,5,66
5,5,66
6,5,66
7,5,66
8,5,66
9,5,66
10,8.10072991653229,66
11,13.0928964791404,66
12,21.0796554972563,66
13,33.7274712791759,66
14,53.4295634418691,66
15,83.3219321755909,66
16,126.817871100672,66
17,186.109042745255,66
18,259.296223159633,66
19,337.489215253551,66
20,406.200935698688,66
21,453.934972294419,66
22,480.13210234402,66
23,492.08302387546,66
24,496.963772653185,66
25,498.85414673715,66
26,499.570275848504,66
27,499.839228041065,66
28,499.939904834967,66
29,499.977544527881,66
30,499.991610230328,66
31,499.996865578471,66
32,499.998828999416,66
33,499.999562524272,66
34,499.99983656324,66
35,499.999938941641,66
36,499.999977189208,66
37,499.999991478118,66
38,499.999996816311,66
39,499.999998810606,66
